bnum	Gene	WT_FeCl2	Dfur_FeCl2	log2(fold_change)_Dfur/wt)
b1148	ymfM	6.36436	41.7777	2.71465
b1149	ymfN	3.30896	20.6929	2.64469
b1178	ycgK	2897.89	531.945	-2.44565
b1183	umuD	18.2979	59.5979	1.70358
b1184	umuC	8.23973	24.0423	1.54491
b1188	ycgB	120.372	206.993	0.782083
b1189	dadA	50.0126	71.2695	0.510993
b1198	dhaM	181.338	127.176	-0.51185
b1199	dhaL	151.441	104.689	-0.532647
b1223	narK	10.2209	1.58874	-2.68557
b1224	narG	15.2929	4.44311	-1.78322
b1225	narH	12.3792	6.29257	-0.976194
b1230	tyrV	24465	204309	3.06196
b1243	oppA	1070.96	743.917	-0.525687
b1244	oppB	151.103	55.1157	-1.455
b1245	oppC	194.905	72.5747	-1.42523
b1246	oppD	164.84	66.8077	-1.30298
b1247	oppF	226.224	95.8092	-1.23952
b1252	tonB	274.991	824.475	1.58409
b1253	yciA	213.464	130.011	-0.715365
b1256	ompW	15.8762	3.95309	-2.00581
b1257	yciE	29.2989	52.1483	0.831772
b1269	rluB	243.903	129.73	-0.910794
b1276	acnA	229.964	128.269	-0.842236
b1281	pyrF	318.404	217.879	-0.547332
b1296	puuP	29.1421	11.5435	-1.33602
b1297	puuA	244.025	57.3101	-2.09017
b1298	puuD	119.5	32.2496	-1.88965
b1299	puuR	144.928	64.106	-1.17681
b1300	puuC	82.4971	14.7529	-2.48334
b1301	puuB	51.56	8.83862	-2.54436
b1302	puuE	34.9676	7.11691	-2.2967
b1321	ycjX	30.0798	52.5274	0.804274
b1322	ycjF	30.2031	45.2572	0.583451
b1380	ldhA	17.1209	31.7907	0.892842
b1388	paaA	1.56369	5.61419	1.84412
b1435	ydcP	113.812	79.1998	-0.523079
b1440	ydcS	23.8936	34.5736	0.533045
b1449	yncB	44.979	66.3998	0.561928
b1450	mcbR	34.4242	56.1303	0.705355
b1452	yncE	411.896	3490.51	3.08308
b1453	ansP	17.6688	6.66261	-1.40705
b1463	nhoA	12.9374	31.8752	1.30088
b1467	narY	10.6213	5.43563	-0.966444
b1468	narZ	12.9012	4.98909	-1.37065
b1469	narU	6.52453	1.24269	-2.3924
b1478	adhP	162.541	270.538	0.735029
b1480	sra	5031.16	8769.8	0.801652
b1482	osmC	803.601	1347.36	0.745583
b1487	ddpA	18.9436	11.8531	-0.676443
b1489	dosP	18.263	26.9787	0.5629
b1490	dosC	36.8139	61.5726	0.742036
b1492	gadC	331.912	207.135	-0.680229
b1493	gadB	576.464	364.391	-0.661744
b1494	pqqL	15.0001	72.1963	2.26695
b1495	yddB	9.42944	73.3885	2.96031
b1496	yddA	3.99505	31.5999	2.98364
b1519	tam	57.3911	82.513	0.523795
b1530	marR	47.1661	87.8539	0.897357
b1531	marA	118.21	236.915	1.00302
b1536	ydeI	49.5451	78.3663	0.661491
b1537	ydeJ	9.78676	23.1766	1.24377
b1541	ydfZ	160.023	34.7886	-2.20159
b1542	ydfI	6.02599	10.4538	0.794765
b1586	ynfD	169.845	251.887	0.568557
b1588	ynfF	12.4072	5.43489	-1.19085
b1596	ynfM	18.5144	87.3853	2.23874
b1611	fumC	70.4282	43.2657	-0.702931
b1612	fumA	461.372	81.7742	-2.49621
b1646	sodC	104.575	160.992	0.622449
b1654	grxD	1104.25	350.013	-1.65758
b1656	sodB	1523.27	40.0038	-5.25089
b1675	ydhZ	237.877	123.635	-0.944132
b1677	lpp	60305.2	40823.7	-0.562876
b1678	ynhG	143	211.103	0.561929
b1679	sufE	77.0213	444.475	2.52877
b1680	sufS	90.1246	598.299	2.73087
b1681	sufD	103.299	665.058	2.68665
b1682	sufC	77.5357	415.844	2.42311
b1683	sufB	72.6052	473.862	2.70632
b1684	sufA	63.0312	660.281	3.38894
b1686	ydiI	394.733	152.952	-1.3678
b1687	ydiJ	297.576	106.083	-1.48807
b1705	ydiE	78.015	474.547	2.60473
b1722	ydiY	86.9592	57.3731	-0.599964
b1741	cho	29.4766	49.0436	0.734494
b1743	spy	38.3887	88.2039	1.20016
b1757	ynjE	31.2176	19.7382	-0.661369
b1761	gdhA	1892.44	4377.35	1.20981
b1777	yeaC	518.23	190.111	-1.44676
b1778	msrB	535.42	276.475	-0.953524
b1783	yeaG	249.777	364.058	0.54353
b1815	yoaD	6.99239	12.4412	0.831264
b1823	cspC	6007.68	3170.02	-0.922317
b1824	yobF	5975.27	2463.32	-1.2784
b1828	yebQ	2.90303	7.17544	1.30551
b1848	yebG	321.532	915.361	1.50938
b1856	yebA	860.59	109.692	-2.97186
b1857	znuA	7813.72	368.113	-4.40779
b1858	znuC	377.526	78.1351	-2.27253
b1859	znuB	162.559	34.7019	-2.22788
b1860	ruvB	84.1258	130.596	0.634485
b1861	ruvA	117.019	170.48	0.54286
b1874	cutC	182.221	262.675	0.527593
b1897	otsB	113.44	163.599	0.528235
b1902	ftnB	110.553	47.3534	-1.22319
b1905	ftnA	328.745	134.192	-1.29267
b1909	leuZ	11595.1	72152.6	2.63753
b1910	cysT	33232.9	69013.7	1.05427
b1911	glyW	196229	121449	-0.692193
b1915	yecF	233.553	121.033	-0.948344
b1922	fliA	1.06779	9.9095	3.21418
b1923	fliC	32.5363	47.1016	0.533728
b1930	yedF	317.346	182.882	-0.795148
b1932	yedL	88.6166	42.8678	-1.04768
b1938	fliF	0.874544	3.18343	1.86398
b1951	rcsA	7.66879	20.9167	1.44758
b1955	yedP	50.2173	75.6802	0.591732
b1967	hchA	267.888	394.084	0.556872
b1973	zinT	18872.3	120.465	-7.29151
b1974	yodB	122.348	5.00163	-4.61244
b1975	serU	2269.09	8446.21	1.89619
b1976	mtfA	79.8007	114.776	0.524343
b1981	shiA	59.5485	210.75	1.82339
b1984	asnW	726597	513774	-0.500023
b1988	nac	44.7538	16.2074	-1.46536
b1994	insH-6	219.245	154.894	-0.501262
b1995	yoeA	7.4362	46.8703	2.65604
b2000	flu	558.75	63.6129	-3.13481
b2001	yeeR	34.3271	8.15066	-2.07436
b2012	yeeD	684.214	2640.73	1.94842
b2013	yeeE	148.769	605.864	2.02592
b2014	yeeF	427.231	271.57	-0.653691
b2030	insH-7	265.744	177.282	-0.583994
b2032	wbbK	152.419	103.197	-0.562636
b2035	rfc	76.1352	48.3399	-0.655349
b2040	rfbD	447.015	299.386	-0.578317
b2041	rfbB	431.138	252.252	-0.773284
b2052	fcl	2.47315	6.85236	1.47025
b2053	gmd	4.25669	10.6174	1.31862
b2060	wzc	1.23592	3.06671	1.31111
b2069	yegD	46.7374	23.1058	-1.01632
b2080	yegP	406.067	597.886	0.558152
b2092	gatC	1297.65	755.751	-0.779922
b2093	gatB	1860.89	980.969	-0.923713
b2094	gatA	2252.12	1278.55	-0.816777
b2095	gatZ	2797.02	1857.2	-0.590767
b2113	mrp	192.829	77.1499	-1.32158
b2129	yehX	28.97	41.6235	0.522838
b2130	yehY	19.0706	27.3563	0.520524
b2131	osmF	59.769	86.1584	0.527593
b2135	yohC	17.1265	45.1327	1.39794
b2142	yohK	15.4878	28.8748	0.898675
b2149	mglA	36.7534	25.3777	-0.534314
b2155	cirA	74.8767	7850.91	6.7122
b2158	yeiH	23.8261	37.9017	0.66972
b2159	nfo	114.971	177.803	0.629008
b2169	fruB	30.1987	19.7519	-0.612494
b2192	insH-8	256.305	176.017	-0.54215
b2193	narP	65.9201	42.8854	-0.62023
b2203	napB	27.2267	7.38228	-1.88288
b2204	napH	9.68524	1.39065	-2.80003
b2205	napG	11.7204	1.97738	-2.56736
b2206	napA	29.3939	4.49341	-2.70963
b2208	napF	24.5982	3.64797	-2.75339
b2210	mqo	140.116	201.148	0.52164
b2211	yojI	76.4773	131.403	0.780894
b2215	ompC	8127.78	4752.28	-0.774242
b2260	menE	46.321	30.7257	-0.592218
b2276	nuoN	402.872	129.873	-1.63323
b2277	nuoM	367.727	121.366	-1.59927
b2278	nuoL	230.44	71.5949	-1.68646
b2279	nuoK	74.2535	31.6282	-1.23125
b2280	nuoJ	153.982	51.5102	-1.57983
b2281	nuoI	270.685	74.6993	-1.85745
b2282	nuoH	283.151	81.837	-1.79075
b2283	nuoG	620.923	177.338	-1.80791
b2284	nuoF	426.201	127.367	-1.74254
b2285	nuoE	860.792	274.083	-1.65105
b2286	nuoC	757.333	213.367	-1.82759
b2287	nuoB	741.498	240.269	-1.62579
b2288	nuoA	475.248	180.8	-1.39429
b2296	ackA	329.074	604.929	0.878351
b2325	yfcL	291.317	187.157	-0.638343
b2327	yfcA	103.849	73.3602	-0.501412
b2350	yfdG	161.621	110.816	-0.544446
b2351	yfdH	316.516	214.716	-0.559852
b2352	yfdI	170.118	100.243	-0.763031
b2370	evgS	66.0509	43.4102	-0.605546
b2378	lpxP	14.8132	7.56652	-0.96918
b2392	mntH	57.9982	127.497	1.13638
b2396	alaX	68733.9	43625.7	-0.655843
b2403	valY	119127	68871.5	-0.790526
b2497	uraA	540.507	331.019	-0.7074
b2498	upp	1986.46	1386.82	-0.518425
b2518	ndk	1370.5	893.584	-0.617028
b2522	sseB	194.185	115.566	-0.748713
b2523	pepB	195.812	110.601	-0.824098
b2524	iscX	705.311	285.385	-1.30535
b2525	fdx	574.018	286.191	-1.00412
b2526	hscA	213.047	127.554	-0.740067
b2528	iscA	794.517	552.742	-0.523471
b2530	iscS	971.219	619.063	-0.64971
b2531	iscR	382.973	679.131	0.826446
b2533	suhB	541.128	335.533	-0.689513
b2535	csiE	24.3431	39.0084	0.680275
b2543	yphA	106.431	152.728	0.521045
b2572	rseA	646.051	1042.17	0.689871
b2573	rpoE	298.851	431.55	0.530103
b2579	yfiD	948.363	154.613	-2.61677
b2590	gltW	545631	355305	-0.618867
b2592	clpB	178.559	348.196	0.963499
b2616	recN	54.022	264.551	2.29193
b2642	yfjW	27.672	19.5455	-0.501594
b2659	csiD	32.5178	50.3343	0.630313
b2660	lhgO	38.7948	55.9597	0.528524
b2673	nrdH	52.9074	1490.51	4.81619
b2674	nrdI	38.9389	1177.46	4.91832
b2675	nrdE	23.4262	534.059	4.51081
b2676	nrdF	19.1266	410.403	4.42339
b2677	proV	87.0201	211.703	1.28262
b2678	proW	52.595	116.308	1.14495
b2679	proX	86.2561	194.74	1.17485
b2680	ygaX	6.67445	41.1978	2.62585
b2685	emrA	110.047	69.6605	-0.659714
b2686	emrB	48.4484	30.1354	-0.684991
b2694	argV	24479.2	13034.7	-0.909195
b2699	recA	573.655	1157.32	1.01253
b2727	hypB	22.9239	10.7944	-1.08657
b2741	rpoS	875.588	1401.63	0.678782
b2763	cysI	1002.38	662.807	-0.596775
b2764	cysJ	947.653	610.742	-0.633796
b2796	sdaC	62.8163	44.0067	-0.513416
b2797	sdaB	34.3187	21.6728	-0.663107
b2804	fucU	104.726	155.817	0.573232
b2809	ygdI	240.365	508.541	1.08114
b2818	argA	1031.87	679.12	-0.603517
b2889	idi	50.696	84.2386	0.73261
b2896	ygfX	144.638	80.8769	-0.838649
b2897	ygfY	412.474	252.199	-0.70974
b2899	yqfA	55.6696	138.134	1.31111
b2904	gcvH	530.521	261.449	-1.02088
b2924	mscS	1084.09	1553.69	0.519209
b2936	yggG	88.4533	55.4699	-0.673211
b2970	yghF	13.6191	2.77614	-2.29448
b2971	yghG	56.2691	11.4855	-2.29253
b2972	pppA	50.0404	17.2133	-1.53957
b2976	glcB	114.561	60.5279	-0.920449
b2977	glcG	109.539	59.5641	-0.878925
b2979	glcD	33.8098	6.99768	-2.27249
b2980	glcC	112.996	68.0982	-0.730583
b2996	hybA	14.5062	4.76061	-1.60745
b2997	hybO	16.3718	6.33763	-1.3692
b3005	exbD	453.5	1688.79	1.89682
b3006	exbB	438.388	1550.08	1.82207
b3017	ftsP	152.888	100.826	-0.600604
b3022	mqsR	306.674	194.724	-0.655279
b3055	ygiM	175.918	285.101	0.696566
b3068	mug	201.9	288.44	0.51463
b3070	yqjH	87.0457	365.193	2.06881
b3081	fadH	11.4919	6.78843	-0.759471
b3084	rlmG	50.5576	27.4272	-0.882323
b3092	uxaC	29.3049	19.5804	-0.58173
b3151	yraQ	55.7472	89.6893	0.686036
b3161	mtr	26.8164	18.5331	-0.53301
b3172	argG	1887.74	1138.13	-0.729996
b3175	secG	2917.15	2048.92	-0.509694
b3212	gltB	2825.64	1107.87	-1.35078
b3213	gltD	2590.14	1056.05	-1.29435
b3214	gltF	105.88	47.3826	-1.16
b3218	insH-10	251.168	173.715	-0.531932
b3261	fis	2307.18	1496.67	-0.62438
b3268	yhdW	25.2167	9.98726	-1.33622
b3273	thrV	13755.9	4994.91	-1.46152
b3275	rrlD	23.1567	33.9903	0.553691
b3276	alaU	191949	115932	-0.727447
b3277	ileU	32882.5	17117.3	-0.941867
b3313	rplP	9388.03	6570.21	-0.514882
b3314	rpsC	6561.35	4616.17	-0.507296
b3319	rplD	6020.77	4136.81	-0.541431
b3320	rplC	7542.36	5281.04	-0.514195
b3336	bfr	567.08	191.518	-1.56607
b3337	bfd	525.296	2268.08	2.11027
b3359	argD	696.456	490.134	-0.506856
b3364	tsgA	64.2171	44.0701	-0.543159
b3365	nirB	14.1248	3.33896	-2.08076
b3408	feoA	156.345	314.938	1.01033
b3409	feoB	79.5188	156.116	0.973249
b3426	glpD	18.7973	26.6204	0.502005
b3448	yhhA	75.5192	115.298	0.610449
b3453	ugpB	87.9165	148.528	0.756532
b3469	zntA	6.19899	114.103	4.20216
b3505	insH-11	253.482	169.007	-0.584801
b3506	slp	400.618	279.624	-0.518739
b3508	yhiD	50.7448	30.9381	-0.713879
b3510	hdeA	3957.61	2573.96	-0.620638
b3515	gadW	181.184	113.563	-0.67396
b3517	gadA	478.55	300.795	-0.669888
b3519	treF	67.5297	106.391	0.655777
b3522	yhjD	62.9395	92.3013	0.552386
b3528	dctA	58.9851	31.7447	-0.893833
b3540	dppF	162.974	29.8269	-2.44995
b3541	dppD	145.216	35.1049	-2.04845
b3542	dppC	72.5656	15.9865	-2.18243
b3543	dppB	63.0046	14.0669	-2.16315
b3556	cspA	654.653	329.75	-0.989359
b3588	aldB	13.7566	23.4766	0.771105
b3603	lldP	22.0157	32.6896	0.570299
b3607	cysE	265.202	178.117	-0.574264
b3629	rfaS	64.7411	43.0337	-0.589216
b3636	rpmG	11424	7717.27	-0.565901
b3642	pyrE	28.0778	15.5936	-0.84847
b3686	ibpB	20.847	66.7948	1.67989
b3687	ibpA	146.208	374.449	1.35675
b3740	rsmG	101.855	67.7539	-0.588145
b3755	yieP	130.11	87.9091	-0.565651
b3760	aspT	88231.1	61517.9	-0.520281
b3761	trpT	5026.7	19584.7	1.96204
b3767	ilvG_1	793.11	1584.93	0.998827
b3768	ilvG_2	164.415	307.746	0.904402
b3769	ilvM	93.8049	258.892	1.46462
b3774	ilvC	4607.3	8520.98	0.887099
b3775	ppiC	385.698	269.978	-0.514631
b3832	rmuC	18.8031	28.7505	0.612611
b3864	spf	36114.3	23814.2	-0.600748
b3867	hemN	213.036	115.736	-0.880264
b3868	glnG	195.981	95.6635	-1.03467
b3869	glnL	283.326	123.493	-1.19803
b3870	glnA	3742.67	1952.85	-0.938489
b3894	fdoG	158.556	78.4736	-1.01471
b3924	fpr	221.202	324.084	0.551001
b3928	zapB	1603.08	1035.8	-0.630096
b3932	hslV	218.236	312.692	0.518853
b3936	rpmE	791.166	2584.78	1.70799
b3942	katG	309.992	146.515	-1.08119
b3956	ppc	1499.56	885.956	-0.759232
b3958	argC	685.936	427.029	-0.683741
b3959	argB	693.881	397.482	-0.803798
b3960	argH	599.061	350.783	-0.772125
b3976	thrU	64598.9	43739.3	-0.56258
b3977	tyrU	2007.45	22981	3.51701
b3979	thrT	18292.1	6038.34	-1.599
b3986	rplL	12604.6	8584.68	-0.55411
b4013	metA	582.548	879.976	0.595088
b4015	aceA	3447.55	2257.6	-0.610779
b4016	aceK	414.086	267.067	-0.632726
b4030	psiE	46.7458	119.601	1.35533
b4035	malK	26.8859	38.2959	0.510342
b4043	lexA	267.87	437.034	0.706213
b4058	uvrA	117.9	167.74	0.508664
b4062	soxS	153.4	503.612	1.71501
b4064	yjcD	150.462	97.0891	-0.632015
b4070	nrfA	9.24369	5.2508	-0.815932
b4107	yjdN	56.017	108.034	0.947544
b4122	fumB	6.76258	2.24674	-1.58974
b4134	pheU	5439.45	18017.4	1.72786
b4140	fxsA	37.734	61.3541	0.701295
b4142	groS	854.767	1544.41	0.853454
b4143	groL	1401.88	2618.61	0.901437
b4152	frdC	33.2588	13.2524	-1.32748
b4153	frdB	35.3174	18.7693	-0.912007
b4154	frdA	64.8306	25.5843	-1.34142
b4203	rplI	4570.02	3141.7	-0.540656
b4227	ytfQ	20.154	30.7366	0.60889
b4238	nrdD	27.8673	48.6863	0.804943
b4243	yjgF	5368.37	3428.14	-0.647058
b4244	pyrI	6459.1	4171.04	-0.630927
b4246	pyrL	5022.41	3119.7	-0.686972
b4254	argI	743.992	318.142	-1.22562
b4269	yjgB	60.8557	92.1925	0.599256
b4270	leuX	3396.86	53101.3	3.96647
b4287	fecE	27.0576	70.3186	1.37787
b4288	fecD	5.76972	24.3334	2.07636
b4289	fecC	7.93627	31.1858	1.97436
b4290	fecB	23.8696	106.918	2.16326
b4291	fecA	17.1841	134.569	2.9692
b4292	fecR	43.5804	444.368	3.35
b4293	fecI	121.234	1166.53	3.26636
b4310	nanM	24.2531	37.1545	0.615368
b4322	uxuA	32.7654	18.6078	-0.816265
b4323	uxuB	20.6965	14.4578	-0.517536
b4326	iraD	19.183	44.561	1.21595
b4337	mdtM	8.11012	14.3451	0.822768
b4342	yjiT	94.9959	66.2628	-0.519666
b4345	mcrC	19.1613	10.5986	-0.854317
b4346	mcrB	60.0606	37.4289	-0.682268
b4348	hsdS	73.2107	47.5656	-0.622134
b4367	fhuF	654.491	2562.79	1.96927
b4368	leuV	41639.8	15882.2	-1.39055
b4403	yjtD	55.578	35.0889	-0.663498
b4416	rybA	12187.1	1286.74	-3.24356
b4435	isrC	158.023	12.9197	-3.61249
b4443	gcvB	259.778	127.666	-1.0249
b4446	sibC	5365.33	8771.42	0.709144
b4451	ryhB	3847.8	181697	5.56136
b4456	glmZ	11852.7	6666.17	-0.830282
b4466	yghJ	40.1292	12.278	-1.70858
b4467	glcF	40.0603	21.6913	-0.885056
b4468	glcE	26.2938	6.57514	-1.99963
b4469	ygiQ	135.793	55.5233	-1.29024
b4506	ykgO	3476.27	18.6479	-7.54238
b4511	ybdZ	11.9576	669.882	5.80791
b4557	yidD	1007.38	696.193	-0.533043
b4567	yjjZ	21.3401	1678.79	6.29771
b4640	yoeG	55.3658	4.95254	-3.48275
b4698	mgrR	100489	59462.8	-0.756976
