bnum	Gene	WT_Dipyridyl	Dfur_Dipyridyl	log2(fold_change)_(Dfur/wt)
b3508	yhiD	151.619	228	0.588588
b3513	mdtE	161.421	304.142	0.913921
b3514	mdtF	93.4761	196.494	1.07181
b3515	gadW	147.514	224.143	0.60357
b3516	gadX	354.052	540.679	0.61081
b3517	gadA	2501.1	4265.76	0.770242
b3523	yhjE	532.754	318.064	-0.744153
b3551	bisC	179.423	372.133	1.05246
b3556	cspA	144.935	476.366	1.71667
b3572	avtA	444.882	255.751	-0.798685
b3671	ilvB	1286.91	2001.55	0.637202
b3748	rbsD	10.2094	33.5416	1.71606
b3749	rbsA	7.06606	15.7079	1.15251
b3767	ilvG_1	4816.35	2565.21	-0.90886
b3768	ilvG_2	843.941	435.102	-0.95579
b3769	ilvM	956.086	541.592	-0.819935
b3770	ilvE	834.85	493.264	-0.759157
b3771	ilvD	432.366	228.968	-0.917105
b3772	ilvA	278.995	136.757	-1.02862
b3774	ilvC	11288.1	426.244	-4.72698
b3797	hisR	700814	402446	-0.800238
b3828	metR	1397.03	3097.38	1.14868
b3937	yiiX	46.6644	103.662	1.1515
b3938	metJ	2109.47	3909.69	0.890176
b3939	metB	1439.95	3247.46	1.1733
b3940	metL	974.725	2313.22	1.24684
b3941	metF	1464.58	3156.49	1.10783
b3945	gldA	70.858	44.9588	-0.656326
b3958	argC	101.833	190.941	0.906927
b3959	argB	127.365	217.175	0.769893
b3960	argH	127.179	199.685	0.65087
b4013	metA	4192.53	8164.89	0.961613
b4019	metH	386.378	569.392	0.559408
b4024	lysC	1130.05	2031.86	0.846415
b4030	psiE	245.416	129.306	-0.924445
b4054	tyrB	148.922	219.247	0.558001
b4062	soxS	682.819	397.631	-0.780072
b4063	soxR	236.891	117.564	-1.01078
b4209	ytfE	371.963	49.9698	-2.89603
b4242	mgtA	13.5308	21.1766	0.646226
b4243	yjgF	1063.01	1774.62	0.739352
b4244	pyrI	124.344	880.512	2.82401
b4245	pyrB	124.562	903.899	2.8593
b4254	argI	52.9114	108.901	1.04137
b4312	fimB	11.6749	26.5211	1.18373
b4354	yjiY	23.8707	171.538	2.84521
b4432	ryeA	392.314	832.171	1.08487
b4469	ygiQ	24.746	39.4016	0.67106
b4577	sgrS	164.57	398.463	1.27574
b4620	yjbT	80.549	28.0115	-1.52384
